pair_id,first,second,dataset,n_seeds,mean_auc_delta,sample_sd_auc_delta,ci_excludes_zero_first_better,ci_excludes_zero_second_better,ci_includes_zero,holm_primary_reject_first_better,holm_primary_reject_second_better,holm_global_reject_first_better,holm_global_reject_second_better
std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,Celeb-DF-v2,3,-0.013317911434236477,0.006388300866564176,0,2,1,0,1,0,1
std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,DFDC,3,-0.012996150764196765,0.0013647259013441077,0,3,0,0,3,0,3
std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,DFDCP,3,-0.01484992101105842,0.0034116517320819818,0,3,0,0,0,0,0
std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,DeeperForensics-1.0,3,0.0015149607882786926,0.0019127606221094242,0,0,3,0,0,0,0
std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,UADFV,3,0.0009718172983478693,0.005003698817420608,0,0,3,0,0,0,0
std_attn_out_r30_alpha120_p025__minus__std_attn_qv_r15_alpha60_p025,std_attn_out_r30_alpha120_p025,std_attn_qv_r15_alpha60_p025,WildDeepfake,3,0.010420979986197398,0.007827437890273454,0,0,3,0,0,0,0
std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,3,-0.0089777484027318,0.0036837071791923997,0,2,1,0,0,0,0
std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,DFDC,3,-0.008485737214693811,0.008828561429068764,0,2,1,0,1,0,1
std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,DFDCP,3,-0.012782471323579939,0.014089735785504234,0,2,1,0,1,0,1
std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,DeeperForensics-1.0,3,0.003984071218163095,0.001303695052809821,2,0,1,0,0,0,0
std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,UADFV,3,0.002221296681938082,0.005306543066393424,0,0,3,0,0,0,0
std_attn_out_r30_alpha120_p025__minus__std_mlp_attn_out_r5_alpha20_p025,std_attn_out_r30_alpha120_p025,std_mlp_attn_out_r5_alpha20_p025,WildDeepfake,3,0.006349206349206327,0.01138590870807157,0,0,3,0,0,0,0
