record_type,candidate,seed,split,dataset,metric,value,threshold,source_constraint_value,analysis_units,raw_ece_15,brier
calibration,std_attn_out_r30_alpha120_p025,3407,source,FaceForensics++,,,,,280,0.04156618020186657,0.010197038645054123
calibration,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,,,,,518,0.06400564629186214,0.08175342137560167
calibration,std_attn_out_r30_alpha120_p025,3407,target,DFDC,,,,,4704,0.12584473399783122,0.165197877109274
calibration,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,,,,,652,0.11174803580812974,0.13681852964818464
calibration,std_attn_out_r30_alpha120_p025,3407,target,UADFV,,,,,98,0.14106251546572185,0.0933038937550218
calibration,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,,,,,40870,0.014407431054168847,0.004570764191980973
calibration,std_attn_out_r30_alpha120_p025,3407,target,WildDeepfake,,,,,157,0.07519789963184427,0.09468840550280319
calibration,std_attn_qv_r15_alpha60_p025,3407,source,FaceForensics++,,,,,280,0.04352276546409241,0.009583538936106917
calibration,std_attn_qv_r15_alpha60_p025,3407,target,Celeb-DF-v2,,,,,518,0.06978639325148885,0.06796574883601643
calibration,std_attn_qv_r15_alpha60_p025,3407,target,DFDC,,,,,4704,0.08564975939262937,0.14740226097195003
calibration,std_attn_qv_r15_alpha60_p025,3407,target,DFDCP,,,,,652,0.0646091981494897,0.11031122408640193
calibration,std_attn_qv_r15_alpha60_p025,3407,target,UADFV,,,,,98,0.1263003221857688,0.08018090285020543
calibration,std_attn_qv_r15_alpha60_p025,3407,target,DeeperForensics-1.0,,,,,40870,0.021339699668461075,0.006531665381202018
calibration,std_attn_qv_r15_alpha60_p025,3407,target,WildDeepfake,,,,,157,0.07927526479954487,0.11221989775706874
calibration,std_mlp_r6_alpha24_p025,3407,source,FaceForensics++,,,,,280,0.04730213790239397,0.009450724039774585
calibration,std_mlp_r6_alpha24_p025,3407,target,Celeb-DF-v2,,,,,518,0.07916478285317899,0.08023908663596246
calibration,std_mlp_r6_alpha24_p025,3407,target,DFDC,,,,,4704,0.0852791691486891,0.15148488367619745
calibration,std_mlp_r6_alpha24_p025,3407,target,DFDCP,,,,,652,0.062404714009544435,0.10688858502819314
calibration,std_mlp_r6_alpha24_p025,3407,target,UADFV,,,,,98,0.12485253369818045,0.07115516888251211
calibration,std_mlp_r6_alpha24_p025,3407,target,DeeperForensics-1.0,,,,,40870,0.017857869546504323,0.005733835333499475
calibration,std_mlp_r6_alpha24_p025,3407,target,WildDeepfake,,,,,157,0.11334209550819324,0.12062858179071109
calibration,std_mlp_attn_out_r5_alpha20_p025,3407,source,FaceForensics++,,,,,280,0.044229247094419194,0.00839480890971545
calibration,std_mlp_attn_out_r5_alpha20_p025,3407,target,Celeb-DF-v2,,,,,518,0.06157856223618733,0.06842561948570458
calibration,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDC,,,,,4704,0.08136691193578244,0.15045393539484553
calibration,std_mlp_attn_out_r5_alpha20_p025,3407,target,DFDCP,,,,,652,0.07899430297826494,0.10542408479429798
calibration,std_mlp_attn_out_r5_alpha20_p025,3407,target,UADFV,,,,,98,0.1433403898568757,0.08167636486807481
calibration,std_mlp_attn_out_r5_alpha20_p025,3407,target,DeeperForensics-1.0,,,,,40870,0.03872831232820665,0.012654751785017947
calibration,std_mlp_attn_out_r5_alpha20_p025,3407,target,WildDeepfake,,,,,157,0.12487888256419678,0.1262789722832198
calibration,std_attn_out_r30_alpha120_p025,7859,source,FaceForensics++,,,,,280,0.0416322355052623,0.01052520517227644
calibration,std_attn_out_r30_alpha120_p025,7859,target,Celeb-DF-v2,,,,,518,0.06069003045269592,0.07551298792974255
calibration,std_attn_out_r30_alpha120_p025,7859,target,DFDC,,,,,4704,0.1280936978284165,0.16094941101725851
calibration,std_attn_out_r30_alpha120_p025,7859,target,DFDCP,,,,,652,0.09564852771145976,0.12209257534863541
calibration,std_attn_out_r30_alpha120_p025,7859,target,UADFV,,,,,98,0.12104986858723973,0.07489548258042705
calibration,std_attn_out_r30_alpha120_p025,7859,target,DeeperForensics-1.0,,,,,40870,0.019435509887753544,0.005086757678318672
calibration,std_attn_out_r30_alpha120_p025,7859,target,WildDeepfake,,,,,157,0.09578219556654223,0.10124406368607654
calibration,std_attn_qv_r15_alpha60_p025,7859,source,FaceForensics++,,,,,280,0.0357255363018125,0.009306003702357683
calibration,std_attn_qv_r15_alpha60_p025,7859,target,Celeb-DF-v2,,,,,518,0.05888500167266634,0.06424092978363055
calibration,std_attn_qv_r15_alpha60_p025,7859,target,DFDC,,,,,4704,0.08983525164410697,0.14301885643083867
calibration,std_attn_qv_r15_alpha60_p025,7859,target,DFDCP,,,,,652,0.09289254129729195,0.11753052938415569
calibration,std_attn_qv_r15_alpha60_p025,7859,target,UADFV,,,,,98,0.12260497541993881,0.07512957178013818
calibration,std_attn_qv_r15_alpha60_p025,7859,target,DeeperForensics-1.0,,,,,40870,0.016949051756185985,0.003932741410087324
calibration,std_attn_qv_r15_alpha60_p025,7859,target,WildDeepfake,,,,,157,0.07542808371836349,0.10686744286170127
calibration,std_mlp_r6_alpha24_p025,7859,source,FaceForensics++,,,,,280,0.041601871593089416,0.009788471492046459
calibration,std_mlp_r6_alpha24_p025,7859,target,Celeb-DF-v2,,,,,518,0.08199555233748285,0.0786774440318826
calibration,std_mlp_r6_alpha24_p025,7859,target,DFDC,,,,,4704,0.10208596906286925,0.1534449317665704
calibration,std_mlp_r6_alpha24_p025,7859,target,DFDCP,,,,,652,0.08134550881412801,0.11542567256920161
calibration,std_mlp_r6_alpha24_p025,7859,target,UADFV,,,,,98,0.1558366779239027,0.10313572430020514
calibration,std_mlp_r6_alpha24_p025,7859,target,DeeperForensics-1.0,,,,,40870,0.03630064657102644,0.01032552364869935
calibration,std_mlp_r6_alpha24_p025,7859,target,WildDeepfake,,,,,157,0.12254474731791011,0.13043591256567455
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,source,FaceForensics++,,,,,280,0.04613576472006237,0.009817010701955675
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,Celeb-DF-v2,,,,,518,0.07308297431622698,0.07553547379032818
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,DFDC,,,,,4704,0.10036755018575756,0.15410221155888806
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,DFDCP,,,,,652,0.08466592854652763,0.11983378633595178
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,UADFV,,,,,98,0.1618035908197671,0.10039512868810996
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,DeeperForensics-1.0,,,,,40870,0.029244386468765485,0.007605201490142381
calibration,std_mlp_attn_out_r5_alpha20_p025,7859,target,WildDeepfake,,,,,157,0.13299898801051818,0.1262004344491148
calibration,std_attn_out_r30_alpha120_p025,12011,source,FaceForensics++,,,,,280,0.03914956953268635,0.012559626117421752
calibration,std_attn_out_r30_alpha120_p025,12011,target,Celeb-DF-v2,,,,,518,0.04403891783270129,0.07898012793723956
calibration,std_attn_out_r30_alpha120_p025,12011,target,DFDC,,,,,4704,0.13111023420515314,0.16664882083584195
calibration,std_attn_out_r30_alpha120_p025,12011,target,DFDCP,,,,,652,0.13391073204325726,0.14468764682888588
calibration,std_attn_out_r30_alpha120_p025,12011,target,UADFV,,,,,98,0.10455704361044425,0.0636821758101426
calibration,std_attn_out_r30_alpha120_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.009444614821439287,0.002318305250841998
calibration,std_attn_out_r30_alpha120_p025,12011,target,WildDeepfake,,,,,157,0.09623376063180786,0.10569953696805981
calibration,std_attn_qv_r15_alpha60_p025,12011,source,FaceForensics++,,,,,280,0.04135940536134785,0.00819797217674402
calibration,std_attn_qv_r15_alpha60_p025,12011,target,Celeb-DF-v2,,,,,518,0.06808373792440606,0.06287302316005414
calibration,std_attn_qv_r15_alpha60_p025,12011,target,DFDC,,,,,4704,0.10102302750027128,0.151979507533571
calibration,std_attn_qv_r15_alpha60_p025,12011,target,DFDCP,,,,,652,0.14912725880069372,0.14136957293949087
calibration,std_attn_qv_r15_alpha60_p025,12011,target,UADFV,,,,,98,0.10832543582654106,0.053148194626089405
calibration,std_attn_qv_r15_alpha60_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.007890132457529902,0.00102048580557195
calibration,std_attn_qv_r15_alpha60_p025,12011,target,WildDeepfake,,,,,157,0.17225461603733797,0.13736461117997578
calibration,std_mlp_r6_alpha24_p025,12011,source,FaceForensics++,,,,,280,0.04526726818401461,0.008848386066851165
calibration,std_mlp_r6_alpha24_p025,12011,target,Celeb-DF-v2,,,,,518,0.0680972075801218,0.06788301545736597
calibration,std_mlp_r6_alpha24_p025,12011,target,DFDC,,,,,4704,0.1407580887504632,0.17027182699787854
calibration,std_mlp_r6_alpha24_p025,12011,target,DFDCP,,,,,652,0.14873060767705973,0.14076424700872178
calibration,std_mlp_r6_alpha24_p025,12011,target,UADFV,,,,,98,0.10867763460129472,0.06288561957025361
calibration,std_mlp_r6_alpha24_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.022609740898179936,0.004834842425833952
calibration,std_mlp_r6_alpha24_p025,12011,target,WildDeepfake,,,,,157,0.2046352598410513,0.148648619251503
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,source,FaceForensics++,,,,,280,0.04232786453957184,0.009535348320829997
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,Celeb-DF-v2,,,,,518,0.05353718323818541,0.07042465489877947
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,DFDC,,,,,4704,0.1197134978547193,0.1546479606832244
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,DFDCP,,,,,652,0.11177658351282696,0.12569230780600343
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,UADFV,,,,,98,0.11089176150908617,0.06048423510779522
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,DeeperForensics-1.0,,,,,40870,0.01626603071108813,0.0033181418809106306
calibration,std_mlp_attn_out_r5_alpha20_p025,12011,target,WildDeepfake,,,,,157,0.1693272638024459,0.1290868918197106
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,unit_f1_source_fixed,0.9143646408839778,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,unit_eer_descriptive,0.10056179775280898,0.7499776578260935,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.01,0.669537037037037,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,Celeb-DF-v2,frame_tpr_source_fpr_0.001,0.30314814814814817,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,unit_f1_source_fixed,0.7632759027613877,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,unit_eer_descriptive,0.20514516226730323,0.26840761059429497,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,frame_tpr_source_fpr_0.01,0.4966521909630942,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDC,frame_tpr_source_fpr_0.001,0.2845419819610463,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,unit_f1_source_fixed,0.8404669260700389,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,unit_eer_descriptive,0.17344941273439107,0.35835360661258164,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.01,0.5809557459588376,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DFDCP,frame_tpr_source_fpr_0.001,0.33989930218178604,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,unit_f1_source_fixed,0.8648648648648648,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,unit_eer_descriptive,0.04081632653061226,0.7693360895534099,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,frame_tpr_source_fpr_0.01,0.935525467440361,0.9998117089271545,0.009828009828009828,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,UADFV,frame_tpr_source_fpr_0.001,0.6499032882011605,0.9999904632568359,0.0008934554389099843,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,unit_f1_source_fixed,0.6445182724252492,0.5000315370579358,1.0,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,unit_eer_descriptive,0.02487972001606465,0.13958386341497922,,,,
threshold,std_attn_out_r30_alpha120_p025,3407,target,DeeperForensics-1.0,frame_tpr_source_fpr_0.01,0.824307500778089,0.9998117089271545,0.009828009828009828,,,
