placement,round,position_in_round,trainable_params,counted_gflops,batch1_ms,batch32_fps,inference_peak_allocated_gib,training_step_ms,training_peak_allocated_gib,projected_epoch_minutes
attn_out,1,1,1478658,78.585005056,8.238912122,190.51350485949547,2.0659356117248535,422.54898934,13.29588794708252,25.282514528843333
attn_out,2,2,1478658,78.585005056,7.983391944,188.64592827647095,2.073671817779541,424.881475005,13.295933723449707,25.4220749211325
attn_out,3,3,1478658,78.585005056,7.9860234199999995,188.29922992122073,2.073671817779541,424.987741765,13.295933723449707,25.428433215605832
attn_out,4,4,1478658,78.585005056,7.996370612,188.08606598381417,2.073671817779541,425.0967088,13.295933723449707,25.434953076533336
attn_out,5,1,1478658,78.585005056,8.001019596,188.05576432600515,2.073671817779541,425.691564605,13.295933723449707,25.47054528219917
attn_qv,1,2,1478658,78.585005056,10.525206978,187.52742148655582,2.073671817779541,442.7826109,13.601414680480957,26.493159552183332
attn_qv,2,4,1478658,78.585005056,10.617463778,186.17554043105645,2.073671817779541,444.89092685,13.601414680480957,26.619307123191668
attn_qv,3,1,1478658,78.585005056,10.561420166,186.23862951499515,2.073671817779541,443.602546545,13.601414680480957,26.542219034942498
attn_qv,4,3,1478658,78.585005056,10.53948856,185.8992995289762,2.073671817779541,444.13733516499997,13.601414680480957,26.57421722070583
attn_qv,5,3,1478658,78.585005056,10.530461286,185.77509688637338,2.073671817779541,445.629149235,13.601414680480957,26.663477429227502
mlp,1,3,1478658,79.037989888,11.003995291999999,182.57375934471813,2.073671817779541,477.810730185,16.77950668334961,28.5890086894025
mlp,2,1,1478658,79.037989888,11.056261604,182.05676480171923,2.073671817779541,478.40620378,16.77999496459961,28.62463785950333
mlp,3,4,1478658,79.037989888,11.028984094,181.54551738843597,2.073671817779541,479.42253227000003,16.77999496459961,28.685448180821666
mlp,4,2,1478658,79.037989888,11.001030587999999,181.5534922413482,2.073671817779541,479.464339785,16.77999496459961,28.6879496638025
mlp,5,2,1478658,79.037989888,11.058967103999999,181.4037653148586,2.073671817779541,479.70050744,16.77999496459961,28.70208036182667
mlp_attn_out,1,4,1478658,78.962492416,12.461472602,180.99332320692847,2.073671817779541,490.756952145,17.669564247131348,29.3636243033425
mlp_attn_out,2,3,1478658,78.962492416,12.111424674,180.6119319458593,2.073671817779541,490.53897796999996,17.670662879943848,29.350582181871665
mlp_attn_out,3,2,1478658,78.962492416,12.001531651999999,180.31733835377023,2.073671817779541,491.05064402000005,17.670662879943848,29.381196867196667
mlp_attn_out,4,1,1478658,78.962492416,11.996741238,180.151504993788,2.073671817779541,491.414408695,17.670662879943848,29.402962120250834
mlp_attn_out,5,4,1478658,78.962492416,12.011805835999999,180.00933914102794,2.073671817779541,491.81440022000004,17.670662879943848,29.42689494649667
