placement,candidate,dataset,analysis_level,metric,mean,sample_sd,n_seeds,threshold_origin,threshold_mean,threshold_sample_sd,source_constraint_mean
Attn-Out,std_attn_out_r30_alpha120_p025,Celeb-DF-v2,analysis_unit,brier,0.07874884574752793,0.003126638928067587,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,Celeb-DF-v2,analysis_unit,ece_15,0.05624486485908645,0.010699868420051861,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,Celeb-DF-v2,analysis_unit,f1_source_fixed,0.9184834308510053,0.007347396981626435,3,source_validation,0.5013965201871619,0.0022595903442999524,0.9952718676122931
Attn-Out,std_attn_out_r30_alpha120_p025,Celeb-DF-v2,analysis_unit,target_eer_descriptive,0.10822868473231989,0.01848419511360182,3,target_descriptive,0.6970613057274022,0.06978963901207047,
Attn-Out,std_attn_out_r30_alpha120_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.001,0.3588888888888889,0.05310360761087177,3,source_validation,0.9999909003575643,6.565535720927837e-07,0.0008190008190008189
Attn-Out,std_attn_out_r30_alpha120_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.01,0.6812345679012346,0.023541169708388335,3,source_validation,0.9998515248298645,4.721007703533024e-05,0.009828009828009828
Attn-Out,std_attn_out_r30_alpha120_p025,DFDC,analysis_unit,brier,0.16426536965412483,0.002961924321361524,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,DFDC,analysis_unit,ece_15,0.1283495553438003,0.0026420579875280096,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,DFDC,analysis_unit,f1_source_fixed,0.7603046933192228,0.007578473425590422,3,source_validation,0.5013965201871619,0.0022595903442999524,0.9952718676122931
Attn-Out,std_attn_out_r30_alpha120_p025,DFDC,analysis_unit,target_eer_descriptive,0.20273526883023069,0.005710947627862853,3,target_descriptive,0.2509351908848422,0.019919778624859583,
Attn-Out,std_attn_out_r30_alpha120_p025,DFDC,frame,tpr_at_source_fpr_0.001,0.29182340609916096,0.006793458235849229,3,source_validation,0.9999909003575643,6.565535720927837e-07,0.0008190008190008189
Attn-Out,std_attn_out_r30_alpha120_p025,DFDC,frame,tpr_at_source_fpr_0.01,0.4822103769976713,0.01250745213444653,3,source_validation,0.9998515248298645,4.721007703533024e-05,0.009828009828009828
Attn-Out,std_attn_out_r30_alpha120_p025,DFDCP,analysis_unit,brier,0.1345329172752353,0.011469626486461595,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,DFDCP,analysis_unit,ece_15,0.11376909852094892,0.01921100182054327,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,DFDCP,analysis_unit,f1_source_fixed,0.8474561662015168,0.020095930931449086,3,source_validation,0.5013965201871619,0.0022595903442999524,0.9952718676122931
Attn-Out,std_attn_out_r30_alpha120_p025,DFDCP,analysis_unit,target_eer_descriptive,0.16363761247338413,0.00879571492295869,3,target_descriptive,0.3659446429843835,0.07653368624615435,
Attn-Out,std_attn_out_r30_alpha120_p025,DFDCP,frame,tpr_at_source_fpr_0.001,0.35191237523186997,0.02715785368865032,3,source_validation,0.9999909003575643,6.565535720927837e-07,0.0008190008190008189
Attn-Out,std_attn_out_r30_alpha120_p025,DFDCP,frame,tpr_at_source_fpr_0.01,0.5798074375055208,0.01430014479888195,3,source_validation,0.9998515248298645,4.721007703533024e-05,0.009828009828009828
Attn-Out,std_attn_out_r30_alpha120_p025,DeeperForensics-1.0,analysis_unit,brier,0.003991942373713881,0.0014721950393126889,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,DeeperForensics-1.0,analysis_unit,ece_15,0.014429185254453893,0.004995483058769009,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,DeeperForensics-1.0,analysis_unit,f1_source_fixed,0.6991565171544949,0.0967027634409633,3,source_validation,0.5013965201871619,0.0022595903442999524,0.9952718676122931
Attn-Out,std_attn_out_r30_alpha120_p025,DeeperForensics-1.0,analysis_unit,target_eer_descriptive,0.02148374000398885,0.0029430857053597825,3,target_descriptive,0.15164667845611127,0.04831055855448565,
Attn-Out,std_attn_out_r30_alpha120_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.001,0.5271293702666251,0.022663281210245526,3,source_validation,0.9999909003575643,6.565535720927837e-07,0.0008190008190008189
Attn-Out,std_attn_out_r30_alpha120_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.01,0.8033509700176367,0.03081127698082006,3,source_validation,0.9998515248298645,4.721007703533024e-05,0.009828009828009828
Attn-Out,std_attn_out_r30_alpha120_p025,UADFV,analysis_unit,brier,0.07729385071519715,0.014955790543595646,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,UADFV,analysis_unit,ece_15,0.12222314255446862,0.01828099553349732,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,UADFV,analysis_unit,f1_source_fixed,0.8880928923061182,0.023904791266077897,3,source_validation,0.5013965201871619,0.0022595903442999524,0.9952718676122931
Attn-Out,std_attn_out_r30_alpha120_p025,UADFV,analysis_unit,target_eer_descriptive,0.04081632653061226,0.0,3,target_descriptive,0.7680996497242796,0.00212860307009282,
Attn-Out,std_attn_out_r30_alpha120_p025,UADFV,frame,tpr_at_source_fpr_0.001,0.5428755641521599,0.25352760266389524,3,source_validation,0.9999909003575643,6.565535720927837e-07,0.0008190008190008189
Attn-Out,std_attn_out_r30_alpha120_p025,UADFV,frame,tpr_at_source_fpr_0.01,0.9185471738663228,0.019771021933560142,3,source_validation,0.9998515248298645,4.721007703533024e-05,0.009828009828009828
Attn-Out,std_attn_out_r30_alpha120_p025,WildDeepfake,analysis_unit,brier,0.10054400205231317,0.005538846337875033,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,WildDeepfake,analysis_unit,ece_15,0.08907128527673146,0.012016825691124233,3,none,,,
Attn-Out,std_attn_out_r30_alpha120_p025,WildDeepfake,analysis_unit,f1_source_fixed,0.905761947101922,0.006005098591930383,3,source_validation,0.5013965201871619,0.0022595903442999524,0.9952718676122931
Attn-Out,std_attn_out_r30_alpha120_p025,WildDeepfake,analysis_unit,target_eer_descriptive,0.13557625948930296,0.009383436052046697,3,target_descriptive,0.5236693161011013,0.03639186314215281,
Attn-Out,std_attn_out_r30_alpha120_p025,WildDeepfake,frame,tpr_at_source_fpr_0.001,0.24121376811594203,0.03032946321655579,3,source_validation,0.9999909003575643,6.565535720927837e-07,0.0008190008190008189
Attn-Out,std_attn_out_r30_alpha120_p025,WildDeepfake,frame,tpr_at_source_fpr_0.01,0.5258152173913043,0.0385486644050116,3,source_validation,0.9998515248298645,4.721007703533024e-05,0.009828009828009828
Attn-Q/V,std_attn_qv_r15_alpha60_p025,Celeb-DF-v2,analysis_unit,brier,0.06502656725990037,0.0026356940994244965,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,Celeb-DF-v2,analysis_unit,ece_15,0.06558504428285375,0.005864527860318853,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,Celeb-DF-v2,analysis_unit,f1_source_fixed,0.9317740899614668,0.003134958492919489,3,source_validation,0.5002215038712355,0.00010171537624245497,0.9964496941857433
Attn-Q/V,std_attn_qv_r15_alpha60_p025,Celeb-DF-v2,analysis_unit,target_eer_descriptive,0.0866986120290813,0.0033198594461002913,3,target_descriptive,0.6503415998219376,0.04561001626331141,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.001,0.35848765432098767,0.023955250442791537,3,source_validation,0.9999827146530151,6.267280305907686e-06,0.0008934554389099843
Attn-Q/V,std_attn_qv_r15_alpha60_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.01,0.6904938271604938,0.050755128851276185,3,source_validation,0.9996512134869894,9.834761571401322e-05,0.009828009828009828
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDC,analysis_unit,brier,0.14746687497878658,0.004480674979691583,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDC,analysis_unit,ece_15,0.09216934617900253,0.007947977167225133,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDC,analysis_unit,f1_source_fixed,0.7926524802398319,0.00986011673689618,3,source_validation,0.5002215038712355,0.00010171537624245497,0.9964496941857433
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDC,analysis_unit,target_eer_descriptive,0.19494078481256033,0.005448764869373425,3,target_descriptive,0.32580559348591326,0.042448975571425435,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDC,frame,tpr_at_source_fpr_0.001,0.35534705378280634,0.03264462975183884,3,source_validation,0.9999827146530151,6.267280305907686e-06,0.0008934554389099843
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDC,frame,tpr_at_source_fpr_0.01,0.5566125885365983,0.006878765678493407,3,source_validation,0.9996512134869894,9.834761571401322e-05,0.009828009828009828
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDCP,analysis_unit,brier,0.12307044213668283,0.01625340682285571,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDCP,analysis_unit,ece_15,0.1022096660824918,0.04302246221170272,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDCP,analysis_unit,f1_source_fixed,0.8598981253068,0.026761524067267083,3,source_validation,0.5002215038712355,0.00010171537624245497,0.9964496941857433
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDCP,analysis_unit,target_eer_descriptive,0.1496771756301944,0.003023869099439557,3,target_descriptive,0.3845958066012099,0.11011058756742968,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDCP,frame,tpr_at_source_fpr_0.001,0.44357094485175047,0.05687846139162813,3,source_validation,0.9999827146530151,6.267280305907686e-06,0.0008934554389099843
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DFDCP,frame,tpr_at_source_fpr_0.01,0.6337779348114124,0.03916908371810238,3,source_validation,0.9996512134869894,9.834761571401322e-05,0.009828009828009828
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DeeperForensics-1.0,analysis_unit,brier,0.0038282975322870972,0.002757073896619016,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DeeperForensics-1.0,analysis_unit,ece_15,0.015392961294058987,0.006858482170646847,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DeeperForensics-1.0,analysis_unit,f1_source_fixed,0.7189824278594168,0.18278856037861155,3,source_validation,0.5002215038712355,0.00010171537624245497,0.9964496941857433
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DeeperForensics-1.0,analysis_unit,target_eer_descriptive,0.021217361845358607,0.002287974092906006,3,target_descriptive,0.12604187591967486,0.08222029970657498,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.001,0.539267558875402,0.03832002155034037,3,source_validation,0.9999827146530151,6.267280305907686e-06,0.0008934554389099843
Attn-Q/V,std_attn_qv_r15_alpha60_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.01,0.796970640107895,0.009390516868454081,3,source_validation,0.9996512134869894,9.834761571401322e-05,0.009828009828009828
Attn-Q/V,std_attn_qv_r15_alpha60_p025,UADFV,analysis_unit,brier,0.06948622308547767,0.014372799548094046,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,UADFV,analysis_unit,ece_15,0.11907691114408289,0.009492605704321446,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,UADFV,analysis_unit,f1_source_fixed,0.9052271139063592,0.030132440433825534,3,source_validation,0.5002215038712355,0.00010171537624245497,0.9964496941857433
Attn-Q/V,std_attn_qv_r15_alpha60_p025,UADFV,analysis_unit,target_eer_descriptive,0.04081632653061226,0.0,3,target_descriptive,0.7337451243348022,0.062016225165961954,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,UADFV,frame,tpr_at_source_fpr_0.001,0.7960455620030088,0.052384648440587114,3,source_validation,0.9999827146530151,6.267280305907686e-06,0.0008934554389099843
Attn-Q/V,std_attn_qv_r15_alpha60_p025,UADFV,frame,tpr_at_source_fpr_0.01,0.9516441005802708,0.002233463323750956,3,source_validation,0.9996512134869894,9.834761571401322e-05,0.009828009828009828
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,brier,0.1188173172662486,0.016283850189478283,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,ece_15,0.10898598818508211,0.05482599432110907,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,f1_source_fixed,0.8862245518592268,0.017325398099660227,3,source_validation,0.5002215038712355,0.00010171537624245497,0.9964496941857433
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,target_eer_descriptive,0.1507591442374051,0.013327261154348987,3,target_descriptive,0.4531250093714334,0.12494113852158768,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,frame,tpr_at_source_fpr_0.001,0.21929347826086956,0.03018996057105183,3,source_validation,0.9999827146530151,6.267280305907686e-06,0.0008934554389099843
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,frame,tpr_at_source_fpr_0.01,0.4852355072463768,0.049669076604688826,3,source_validation,0.9996512134869894,9.834761571401322e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,brier,0.07146191605827075,0.0036666660732858646,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,ece_15,0.06273290659686657,0.009823892832980538,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,f1_source_fixed,0.9321235791007754,0.006174174343768804,3,source_validation,0.500051378068226,9.191016829727037e-05,0.9976275207591933
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,target_eer_descriptive,0.09579202467503856,0.005032807513353125,3,target_descriptive,0.7128291222878438,0.05402821594421692,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.001,0.42333333333333334,0.05908474012615301,3,source_validation,0.9999900261561075,3.48844214339075e-06,0.0008934554389099843
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.01,0.7366049382716049,0.043664091956471245,3,source_validation,0.9998704592386881,1.966784691569899e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDC,analysis_unit,brier,0.153068035878986,0.002280263478759864,3,none,,,
