placement,candidate,seed,source_frame_auc,Celeb-DF-v2_analysis_unit_auc,DFDC_analysis_unit_auc,DFDCP_analysis_unit_auc,UADFV_analysis_unit_auc,DeeperForensics-1.0_analysis_unit_auc,WildDeepfake_analysis_unit_auc,macro_6_auc
Attn-Out,std_attn_out_r30_alpha120_p025,3407,0.9866606470749936,0.9636483807005948,0.8632061816804342,0.9068617350092725,0.9804248229904207,0.9876102044059375,0.9219461697722567,0.9372829157598194
Attn-Out,std_attn_out_r30_alpha120_p025,7859,0.9866740411599981,0.9678783873099801,0.8746815633568905,0.9153513290747991,0.9875052061640983,0.9876322241848369,0.9122153209109731,0.940877338500263
Attn-Out,std_attn_out_r30_alpha120_p025,12011,0.9835430238563774,0.9567580964970258,0.865103828110662,0.904770245209149,0.9862557267805081,0.9897172525824002,0.9217391304347826,0.937390713269088
Attn-Q/V,std_attn_qv_r15_alpha60_p025,3407,0.9874850455103396,0.9758922670191672,0.8777293697625999,0.9229445703688439,0.9845897542690546,0.9882922058912941,0.9026915113871635,0.9420232797830206
Attn-Q/V,std_attn_qv_r15_alpha60_p025,7859,0.9865621093404888,0.9754130865829478,0.8872512333797725,0.9263445291572224,0.9816743023740108,0.9848221334009585,0.9078674948240165,0.9438954632864882
Attn-Q/V,std_attn_qv_r15_alpha60_p025,12011,0.9854903076615078,0.9769332452081956,0.8769994222982045,0.9222439728003298,0.9850062473969179,0.987300459516086,0.9140786749482401,0.9437603370279958
MLP,std_mlp_r6_alpha24_p025,3407,0.986616429102203,0.9723066754791805,0.8707338440132827,0.9278590562538636,0.9887546855476884,0.9852559230452766,0.8966873706004141,0.9402662591566177
MLP,std_mlp_r6_alpha24_p025,7859,0.9857488559833372,0.9706543291473892,0.8746689063535446,0.9204306614465279,0.9783423573511038,0.9835027816485694,0.9047619047619049,0.9387268234515066
MLP,std_mlp_r6_alpha24_p025,12011,0.9851752967742532,0.974256444150694,0.8702776494498271,0.919462188337111,0.982923781757601,0.9849673416095895,0.9146997929606625,0.9410978663775809
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,3407,0.9850766528366492,0.9748512888301388,0.8698521933230692,0.9325880898413351,0.9816743023740108,0.9851310219660752,0.9024844720496895,0.9410968947307198
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,7859,0.9852496202020986,0.9726040978189029,0.8754035549906112,0.9131259015042241,0.9791753436068305,0.98292892174403,0.9132505175983436,0.939414722877157
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,12011,0.9829624365010107,0.9677627230667548,0.8831930364783878,0.919616731918401,0.9866722199083714,0.9849475238085801,0.9211180124223604,0.9438850412671425
